"module name","license","repository"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@oopsunome/latest-gitignore@1.0.0","MIT","https://github.com/iTonyYo/latest-gitignore"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"aggregate-error@1.0.0","MIT","https://github.com/sindresorhus/aggregate-error"
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-promise@0.1.0","MIT","https://github.com/kevinbeaty/any-promise"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"async@1.5.2","MIT","https://github.com/caolan/async"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"base@0.11.2","MIT","https://github.com/node-base/base"
"boxen@1.3.0","MIT","https://github.com/sindresorhus/boxen"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"cache-manager-fs@1.0.7","ISC","https://github.com/hotelde/node-cache-manager-fs"
"cache-manager@1.5.0","MIT","https://github.com/BryanDonovan/node-cache-manager"
"cache-manager@2.9.0","MIT","https://github.com/BryanDonovan/node-cache-manager"
"cacheable-request@6.0.0","MIT","https://github.com/lukechilds/cacheable-request"
"call-me-maybe@1.0.1","MIT","https://github.com/limulus/call-me-maybe"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase-keys@5.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"capture-stack-trace@1.0.1","MIT","https://github.com/floatdrop/capture-stack-trace"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"ci-info@1.6.0","MIT","https://github.com/watson/ci-info"
"class-utils@0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"clean-stack@1.3.0","MIT","https://github.com/sindresorhus/clean-stack"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"collection-visit@1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"component-emitter@1.2.1","MIT","https://github.com/component/emitter"
"configstore@3.1.2","BSD-2-Clause","https://github.com/yeoman/configstore"
"copy-descriptor@0.1.1","MIT","https://github.com/jonschlinkert/copy-descriptor"
"create-error-class@3.0.2","MIT","https://github.com/floatdrop/create-error-class"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"decamelize-keys@1.1.0","MIT","https://github.com/dsblv/decamelize-keys"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decode-uri-component@0.2.0","MIT","https://github.com/SamVerschueren/decode-uri-component"
"decompress-response@3.3.0","MIT","https://github.com/sindresorhus/decompress-response"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"defer-to-connect@1.0.2","MIT","https://github.com/szmarczak/defer-to-connect"
"define-property@0.2.5","MIT","https://github.com/jonschlinkert/define-property"
"define-property@1.0.0","MIT","https://github.com/jonschlinkert/define-property"
"define-property@2.0.2","MIT","https://github.com/jonschlinkert/define-property"
"dot-prop@4.2.0","MIT","https://github.com/sindresorhus/dot-prop"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"end-of-stream@1.4.1","MIT","https://github.com/mafintosh/end-of-stream"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"expand-brackets@2.1.4","MIT","https://github.com/jonschlinkert/expand-brackets"
"extend-shallow@2.0.1","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend-shallow@3.0.2","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"extglob@2.0.4","MIT","https://github.com/micromatch/extglob"
"fast-glob@2.2.6","MIT","https://github.com/mrmlnc/fast-glob"
"fill-range@4.0.0","MIT","https://github.com/jonschlinkert/fill-range"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"for-in@1.0.2","MIT","https://github.com/jonschlinkert/for-in"
"fragment-cache@0.2.1","MIT","https://github.com/jonschlinkert/fragment-cache"
"fs-promise@0.3.1","MIT","https://github.com/kevinbeaty/fs-promise"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@4.1.0","MIT","https://github.com/sindresorhus/get-stream"
"get-value@2.0.6","MIT","https://github.com/jonschlinkert/get-value"
"glob-parent@3.1.0","ISC","https://github.com/es128/glob-parent"
"glob-to-regexp@0.3.0","BSD*","https://github.com/fitzgen/glob-to-regexp"
"global-dirs@0.1.1","MIT","https://github.com/sindresorhus/global-dirs"
